AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,EventID,Start,End,Duration_hrs,Total_Rain,Max_Hourly,Average_Intensity
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,30,2025-06-23 16:00:00,2025-06-23 16:00:00,1,2.5,2.5,2.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,31,2025-06-26 02:00:00,2025-06-26 02:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,32,2025-06-29 22:00:00,2025-06-29 22:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,33,2025-06-30 00:00:00,2025-06-30 00:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,34,2025-06-30 17:00:00,2025-06-30 17:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,35,2025-06-30 20:00:00,2025-07-01 00:00:00,5,17.0,8.25,3.4
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,36,2025-07-01 02:00:00,2025-07-01 03:00:00,2,0.5,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,37,2025-07-01 05:00:00,2025-07-01 05:00:00,1,0.5,0.5,0.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,38,2025-07-01 20:00:00,2025-07-02 01:00:00,6,5.5,1.5,0.9166666666666666
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,39,2025-07-02 03:00:00,2025-07-02 03:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,40,2025-07-02 05:00:00,2025-07-02 05:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,41,2025-07-02 13:00:00,2025-07-02 17:00:00,5,3.25,1.0,0.65
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,42,2025-07-08 16:37:00,2025-07-08 17:00:00,2,2.25,1.5,1.125
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,43,2025-07-09 03:00:00,2025-07-09 04:00:00,2,0.75,0.5,0.375
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,44,2025-07-11 04:00:00,2025-07-11 04:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,45,2025-07-12 16:00:00,2025-07-12 16:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,46,2025-07-17 19:00:00,2025-07-17 22:00:00,4,7.75,5.75,1.9375
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,47,2025-07-18 01:00:00,2025-07-18 01:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,48,2025-07-18 16:00:00,2025-07-18 20:00:00,5,13.25,10.5,2.65
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,49,2025-07-19 00:00:00,2025-07-19 00:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,50,2025-07-19 06:00:00,2025-07-19 06:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,51,2025-07-19 16:00:00,2025-07-19 18:00:00,3,43.5,24.25,14.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,52,2025-07-20 19:00:00,2025-07-20 19:00:00,1,3.25,3.25,3.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,53,2025-07-21 18:00:00,2025-07-21 18:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,54,2025-07-23 03:00:00,2025-07-23 04:00:00,2,3.5,3.25,1.75
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,55,2025-07-23 06:00:00,2025-07-23 07:00:00,2,1.5,1.25,0.75
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,56,2025-07-23 10:00:00,2025-07-23 12:00:00,3,2.75,1.75,0.9166666666666666
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,57,2025-07-23 23:00:00,2025-07-24 04:00:00,6,8.25,3.5,1.375
