AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,Total_Rainy_Days,Mean_Daily_Rain,Max_Daily_Rain,Mean_Intensity,Longest_Wet_Spell_days
30064,Medchal-Malkajgiri,Malkajgiri,Madhusudhan Nagar Comm.Hall: Anandbagh,Circle-28(Malkajgiri),17.447325,78.532156,92,13.456521739130435,80.25,2.7837534898676206,16
30065,Medchal-Malkajgiri,Malkajgiri,Vivekanandapuram Comm Hall: Neredmet,Circle-28(Malkajgiri),17.48933,78.531054,98,11.78061224489796,80.75,2.638437766881644,15
30067,Medchal-Malkajgiri,Malkajgiri,Addagutta Community Hall,Circle-29(Secunderabad),17.443089,78.523589,71,11.20774647887324,99.5,2.715803850883076,15
30068,Medchal-Malkajgiri,Malkajgiri,"Community Hall, Lalapet Moulali",Circle-29(Secunderabad),17.440231,78.545386,98,10.58673469387755,85.25,1.9987474791365096,16
30070,Hyderabad,Maredpally,Seethapalmandi Kindi Basthi Comm Hall,Circle-29(Secunderabad),17.426594,78.513227,88,13.784090909090908,122.25,3.0050542181934223,15
30071,Hyderabad,Maredpally,Pikit Health center:Contonment Area,Circle-30(Begumpet),17.45222,78.500017,86,13.813953488372093,119.75,3.1836277094998024,15
30074,Hyderabad,Musheerabad,Bansilalpet,Circle-30(Begumpet),17.426455,78.492243,94,13.412234042553191,123.25,3.0577405897884624,15
30075,Hyderabad,Musheerabad,Osmania University Registrar Office,Circle-15 (Musheerabad),17.410771,78.523482,94,14.172872340425531,105.75,3.2522057065275147,16
30077,Hyderabad,Nampally,Begum Bazar Doodh Khana UHC,Circle-14 (Goshamahal),17.375644,78.471229,90,14.283333333333333,125.0,3.3198740418532084,15
30078,Hyderabad,Nampally,LB Stadium: Gunfoudry,Circle-14 (Goshamahal),17.398528,78.47365,102,13.541666666666666,97.0,3.4318834351922587,15
30079,Hyderabad,Nampally,Dogs Control Building:Gowliwada Jumerath Bazar,Circle-9 (Charminar),17.37041,78.464756,84,9.354166666666666,67.0,2.390159980561766,15
30081,Sangareddy,Patancheru,Patancheruvu MRO Office,Circle-22 (Ramachandrapuram& Patancheru),17.526439,78.267462,99,10.823232323232324,69.25,2.351130624426079,11
30082,Medchal-Malkajgiri,Quthbullapur,"Community Hall, Aadharsh Nagar",Circle-25(Quthbullapur),17.485041,78.446608,77,14.006493506493506,75.75,2.9223736400684452,14
30085,Medchal-Malkajgiri,Quthbullapur,"Ward Office, Gayatri Nagar",Circle-25(Quthbullapur),17.505518,78.470844,106,11.601415094339623,74.25,2.469849693021863,11
30086,Medchal-Malkajgiri,Quthbullapur,ESS Gajularamaram,Circle-26(Gajula ramaram),17.522104,78.429475,99,10.416666666666666,76.25,2.537753184377516,11
30088,Rangareddy,Rajendranagar,GHMC Circle office: Rajendranagar,Circle-11 (Rajendranagar),17.331788,78.408922,94,9.529255319148936,70.25,2.6997751214506533,17
30089,Rangareddy,Rajendranagar,RDO Office: Attapur,Circle-11 (Rajendranagar),17.357415,78.425314,97,10.992268041237113,79.75,2.906760343036116,17
30091,Rangareddy,Rajendranagar,Near Ekta Colony: Shastripuram (Sivarampally),Circle-11 (Rajendranagar),17.330142,78.437308,91,12.266483516483516,83.0,2.9440730721192905,14
30092,Rangareddy,Rajendranagar,Sub Staion: Mailardevpally: Sivarampally,Circle-11 (Rajendranagar),17.314977,78.445794,92,11.36413043478261,75.25,2.8350560369582105,17
30094,Sangareddy,Ramachandrapuram,DEO office Beside Substaion: R.C.Puram,Circle-22 (Ramachandrapuram& Patancheru),17.509442,78.301961,105,11.788095238095238,81.25,2.6475608732328655,11
30095,Hyderabad,Saidabad,Vinay Nagar Comm Hal: I.S.Sadan,Circle-7 (Santhoshnagar),17.352921,78.507314,90,8.113888888888889,59.0,2.0229665396332064,15
30098,Hyderabad,Saidabad,Govt. Boys High School: Kurmaguda,Circle-7 (Santhoshnagar),17.360069,78.504228,93,11.884408602150538,78.75,2.7333920410533312,16
30099,Rangareddy,Saroornagar,Alakapuri Comm Hall,Circle-5 (Saroornagar),17.365435,78.553211,74,9.472972972972974,66.5,2.3009590634590635,13
30100,Rangareddy,Saroornagar,Madhura nagar Comm.Hall,Circle-3 (Hayatnagar),17.350305,78.562178,79,11.003164556962025,65.25,2.848911926680914,14
30101,Rangareddy,Saroornagar,Rock Town Colony: Nagole,Circle-3 (Hayatnagar),17.361846,78.562939,95,11.923684210526316,97.75,2.7381688998136364,15
30103,Hyderabad,Secunderabad,Patigadda,Circle-30(Begumpet),17.433495,78.48402,87,14.35344827586207,119.25,3.31857361587965,15
30104,Rangareddy,Serilingampally,Raidurga Ward Office: Gachibowli,Circle-20 (Serlingampally),17.413263,78.39223,97,10.95103092783505,102.0,2.3064506906323916,17
30105,Rangareddy,Serilingampally,Kakatiya Hills: Madhapur,Circle-21 (Chanda Nagar),17.441745,78.397345,101,10.084158415841584,80.75,2.5491127478132425,20
30106,Rangareddy,Serilingampally,JPN Nagar Comm Hall: Miyapur,Circle-21 (Chanda Nagar),17.506363,78.356382,102,14.014705882352942,123.5,2.767078142445789,14
30107,Rangareddy,Serilingampally,Urban Health Centre: Hafeezpet,Circle-21 (Chanda Nagar),17.486759,78.356872,98,12.35204081632653,75.5,2.779101416623926,14
30109,Rangareddy,Serilingampally,MMTS Lingampally,Circle-20 (Serlingampally),17.485283,78.314788,104,13.23798076923077,118.5,2.8818914759119085,17
30110,Rangareddy,Serilingampally,PJR Stadium: Chandanagar,Circle-21 (Chanda Nagar),17.48883,78.324393,99,13.222222222222221,110.0,2.8985688380741856,14
30111,Rangareddy,Serilingampally,Khajaguda Sports Complex Gachibowli,Circle-20 (Serlingampally),17.418305,78.36669,96,12.393229166666666,133.75,2.4954068322404717,17
30112,Hyderabad,Shaikpet,Tolichowki Dalith Bhavan,Circle-13 (Karvan),17.40362,78.419533,111,14.065315315315315,133.5,2.500208465833466,17
30113,Hyderabad,Shaikpet,Venkateshwara Colony: Banjarahills,Circle-18 (Jubilee Hills),17.418644,78.441962,89,13.044943820224718,88.0,2.687654534915771,17
30114,Hyderabad,Shaikpet,CMTC Premises: Banjara Hills,Circle-18 (Jubilee Hills),17.414006,78.433628,106,15.408018867924529,126.0,3.7125379784231063,17
30115,Hyderabad,Shaikpet,Goutham Nagar Function Hall: Filmnagar,Circle-18 (Jubilee Hills),17.411781,78.410541,199,5.939698492462312,95.5,1.4420432110832644,25
30116,Hyderabad,Shaikpet,Venkatgiri Water Tank: Vengalrao Nagar,Circle-19 (Yousufguda),17.432313,78.422006,94,8.579787234042554,74.5,2.035318980664725,15
30117,Medchal-Malkajgiri,Uppal,Rajiv Nagar Community Hall,Circle-1 (Kapra),17.460602,78.570329,93,11.39516129032258,77.0,2.7658081874815745,15
30118,Medchal-Malkajgiri,Uppal,"Ward Office, Mallapur",Circle-1 (Kapra),17.44585,78.574226,92,11.002717391304348,82.5,2.2490503834933184,17
30119,Medchal-Malkajgiri,Uppal,Chilkanagar Comm Hall,Circle-2 (Uppal),17.42164,78.563291,88,9.181818181818182,59.0,2.301736844279458,11
30121,Medchal-Malkajgiri,Uppal,Maruthi Nagar Mahila Sabha Center,Circle-5 (Saroornagar),17.375455,78.540999,71,11.161971830985916,94.0,2.529324773426886,15
30122,Medchal-Malkajgiri,Uppal,New Nagole Welfare asscoiation,Circle-5 (Saroornagar),17.373291,78.556038,84,11.889880952380953,99.25,2.625359940984941,15
30123,Medchal-Malkajgiri,Uppal,"Community Hall, Habsiguda JSN Colony",Circle-2 (Uppal),17.405238,78.541774,97,10.93041237113402,70.75,2.47192304402356,15
30124,Medchal-Malkajgiri,Uppal,Ramanthapur Ward Office,Circle-2 (Uppal),17.392765,78.53666,79,11.00632911392405,82.75,2.8390853520600356,15
30125,Medchal-Malkajgiri,Uppal,Nacharam Ward Office,Circle-1 (Kapra),17.424343,78.543489,92,12.997282608695652,101.25,2.8323164682539685,16
30126,Medchal-Malkajgiri,Malkajgiri,"Sakhi Center, Safilguda",Circle-28(Malkajgiri),17.466358,78.534171,110,10.36590909090909,68.75,2.2587000531034622,16
30127,Hyderabad,Himayatnagar,GHMC Head Office,Circle-29(Secunderabad),17.407806,78.4756,97,15.20103092783505,117.25,3.897693522113625,15
30128,Hyderabad,Khairatabad,CESS,Circle-17 (Khairatabad),17.431116,78.452129,93,17.56989247311828,142.5,3.998592782665363,16
30129,Hyderabad,Asifnagar,Allabada Water Reservoir,Circle-14 (Goshamahal),17.380026,78.455432,89,12.668539325842696,97.75,3.1664531551469755,15
30130,Hyderabad,Asifnagar,Mehdipatnam Navodaya Comm Hall,Circle-12 (Mehdipatnam),17.387675,78.436241,100,10.44,73.0,2.6446562604062605,17
30140,Hyderabad,Maredpally,New Mettuguda Primary School,Circle-29 (Secunderabad),17.4332066,78.5193999,93,17.024193548387096,153.25,3.6495810640971933,16
30141,Hyderabad,Bandlaguda,Khalender Nagar Community Hall ,Circle-7 (Santosh Nagar),17.3456,78.50525,101,13.316831683168317,98.25,3.2092037908541986,15
30142,Hyderabad,Amberpet,Palton Community Hall,Circle-6 (Malakpet),17.372238,78.5031016,99,11.237373737373737,83.75,2.5806564927777047,15
